model_id	total_time	NLLH	AIC	AICc	BIC	n_converged	start_time_0	start_time_1	start_time_2	start_time_3	start_time_4	start_time_5	start_time_6	start_time_7	start_time_8	start_time_9
model_id	total_time	NLLH	AIC	AICc	BIC	n_converged	start_time_0	start_time_1	start_time_2	start_time_3	start_time_4	start_time_5	start_time_6	start_time_7	start_time_8	start_time_9
model_id	total_time	NLLH	AIC	AICc	BIC	n_converged	start_time_0	start_time_1	start_time_2	start_time_3	start_time_4	start_time_5	start_time_6	start_time_7	start_time_8	start_time_9
M_00010100000000000000000000000000	0.5126352310180664	143.41080069442268	292.82160138884535	292.91837558239376	303.4098886513796	10	0.03980541229248047	0.04541468620300293	0.06758451461791992	0.060533761978149414	0.05210733413696289	0.04535484313964844	0.061112165451049805	0.04321455955505371	0.040764808654785156	0.05674314498901367
M_11000100000000000000000000000000	2.7435712814331055	137.71433092994164	283.4286618598833	283.5906051797213	297.54637820992895	10	0.29341673851013184	0.2595038414001465	0.14720487594604492	0.13846778869628906	0.11739802360534668	0.176469087600708	0.7255322933197021	0.5962865352630615	0.11883401870727539	0.17045807838439941
M_01100100000000000000000000000000	2.9797720909118652	126.49009188647518	260.98018377295034	261.14212709278837	275.09790012299607	10	0.20508718490600586	0.274519681930542	0.6285805702209473	0.39069032669067383	0.10612010955810547	0.2691035270690918	0.15065240859985352	0.4436790943145752	0.18555665016174316	0.32578253746032715
M_01001100000000000000000000000000	2.237147092819214	137.54225052966228	283.08450105932457	283.2464443791626	297.20221740937023	10	0.15588021278381348	0.1310732364654541	0.12382245063781738	0.18690180778503418	0.35408759117126465	0.13266539573669434	0.3774716854095459	0.4212031364440918	0.2577028274536133	0.09633874893188477
M_01010100000000000000000000000000	1.642615556716919	107.20431755961621	222.40863511923243	222.5705784390705	236.52635146927813	10	0.21262335777282715	0.22415590286254883	0.2038412094116211	0.2115926742553711	0.08778238296508789	0.1054229736328125	0.24692988395690918	0.1549832820892334	0.10593819618225098	0.08934569358825684
M_11010100000000000000000000000000	12.70771336555481	95.26225588104437	200.52451176208874	200.76841420111313	218.17165719964586	5	0.3746335506439209	2.505014419555664	0.9954912662506104	3.0996499061584473	4.235440969467163	0.4448082447052002	0.3222999572753906	0.21496844291687012	0.19432806968688965	0.3210785388946533
M_01110100000000000000000000000000	2.207451820373535	88.84004491055941	187.68008982111883	187.92399226014322	205.32723525867596	10	0.19570493698120117	0.1837921142578125	0.31426215171813965	0.21600985527038574	0.22891783714294434	0.20619750022888184	0.18533015251159668	0.18361806869506836	0.24393033981323242	0.24968886375427246
M_01011100000000000000000000000000	2.221012830734253	105.24807877541916	220.49615755083832	220.74005998986271	238.14330298839545	10	0.2799081802368164	0.24611306190490723	0.18145990371704102	0.19953513145446777	0.16693472862243652	0.2660706043243408	0.2793285846710205	0.30230093002319336	0.19264459609985352	0.10671710968017578
M_11110100000000000000000000000000	12.58687448501587	72.41812588796519	156.83625177593038	157.17910891878753	178.0128263009989	5	1.2060513496398926	1.257772445678711	0.4907691478729248	0.9272325038909912	0.9653162956237793	0.2521021366119385	6.624549865722656	0.15077495574951172	0.22521233558654785	0.487093448638916
M_01111100000000000000000000000000	4.025162220001221	85.39839287255974	182.79678574511948	183.13964288797663	203.973360270188	10	0.171769380569458	0.23984122276306152	0.5641992092132568	0.22263050079345703	0.6230618953704834	0.40683531761169434	0.4937427043914795	0.4444906711578369	0.49688148498535156	0.3617098331451416
M_11111100000000000000000000000000	6.2640674114227295	68.67627227205155	151.3525445441031	151.81156093754572	176.05854815668306	6	0.8261175155639648	0.6126351356506348	0.9494292736053467	1.1379551887512207	1.1777944564819336	0.6966023445129395	0.19143319129943848	0.22966694831848145	0.29169535636901855	0.15073800086975098
M_00000000000000000000000000000000	0.14838314056396484	229.65733457742851	461.31466915485703	461.33066915485705	464.84409824236843	10	0.012316703796386719	0.01630425453186035	0.009328365325927734	0.018085956573486328	0.012794256210327148	0.019192934036254883	0.01748800277709961	0.0158383846282959	0.01398015022277832	0.013054132461547852
M_10000000000000000000000000000000	1.5071303844451904	219.8511335804123	443.7022671608246	443.75045993190895	450.76112533584745	8	0.032936811447143555	0.03643345832824707	0.03936123847961426	0.0352170467376709	0.04326629638671875	0.8442659378051758	0.0568087100982666	0.20090818405151367	0.08449029922485352	0.13344240188598633
M_01000000000000000000000000000000	0.4133117198944092	191.02079945913638	386.04159891827277	386.0897916893571	393.10045709329563	10	0.01862788200378418	0.04020047187805176	0.07615852355957031	0.04966878890991211	0.03856825828552246	0.029827594757080078	0.054456233978271484	0.03752756118774414	0.03597140312194824	0.032305002212524414
M_00000100000000000000000000000000	0.33556294441223145	166.74051301158286	337.4810260231657	337.5292187942501	344.5398841981886	10	0.023196935653686523	0.029603004455566406	0.02741384506225586	0.036145925521850586	0.049762725830078125	0.03299450874328613	0.03804779052734375	0.026622772216796875	0.035561323165893555	0.03621411323547363
M_00001000000000000000000000000000	0.45398473739624023	215.32088059546126	434.6417611909225	434.6899539620069	441.7006193659454	10	0.061017751693725586	0.029268980026245117	0.07303643226623535	0.03704237937927246	0.022357463836669922	0.05577731132507324	0.060365915298461914	0.042530059814453125	0.028885602951049805	0.04370284080505371
M_00100000000000000000000000000000	0.3951833248138428	227.87421703368824	459.7484340673765	459.79662683846084	466.80729224239934	10	0.03972768783569336	0.03269624710083008	0.0290069580078125	0.031371116638183594	0.043596744537353516	0.03980565071105957	0.024660110473632812	0.02602243423461914	0.05585837364196777	0.07243800163269043
M_00010000000000000000000000000000	0.36887621879577637	197.51853230128685	399.0370646025737	399.08525737365807	406.09592277759657	10	0.0357823371887207	0.03867936134338379	0.04382801055908203	0.03329658508300781	0.032047271728515625	0.04211258888244629	0.03777813911437988	0.03324484825134277	0.029168128967285156	0.042938947677612305
M_10000100000000000000000000000000	3.964127540588379	165.82091129534405	337.6418225906881	337.7385967842365	348.23010985322236	8	0.2678964138031006	0.17212963104248047	1.9721336364746094	0.2271881103515625	0.17451930046081543	0.10565447807312012	0.47900867462158203	0.21160006523132324	0.19759345054626465	0.1564037799835205
M_01000100000000000000000000000000	1.1441199779510498	138.15669312820725	282.3133862564145	282.4101604499629	292.90167351894877	10	0.09284186363220215	0.10372710227966309	0.156721830368042	0.08329033851623535	0.09774208068847656	0.10009217262268066	0.17255043983459473	0.12383151054382324	0.12602472305297852	0.08729791641235352
M_00001100000000000000000000000000	1.1761853694915771	162.44332632045095	330.8866526409019	330.9834268344503	341.47493990343617	10	0.10364389419555664	0.16074466705322266	0.10433554649353027	0.11560702323913574	0.15334868431091309	0.10980343818664551	0.10160326957702637	0.08394455909729004	0.132080078125	0.11107420921325684
M_00100100000000000000000000000000	1.136674165725708	159.79412695330808	325.58825390661616	325.6850281001646	336.1765411691504	10	0.10720658302307129	0.11085224151611328	0.14082932472229004	0.17867684364318848	0.07902216911315918	0.0846095085144043	0.13953113555908203	0.08469748497009277	0.08237218856811523	0.1288766860961914
M_00010100000000000000000000000000	0.7584414482116699	143.41080069440468	292.82160138880937	292.9183755823578	303.40988865134364	10	0.15139031410217285	0.08555173873901367	0.07283258438110352	0.05320549011230469	0.08130073547363281	0.06606268882751465	0.05106854438781738	0.0404355525970459	0.048267364501953125	0.10832643508911133
