model_id	total_time	NLLH	AIC	AICc	BIC	n_converged	start_time_0	start_time_1	start_time_2	start_time_3	start_time_4	start_time_5	start_time_6	start_time_7	start_time_8	start_time_9
M_11111111111111110111111111111111	35.86538815498352	15.764528528421152	95.5290570568423	105.17289267328066	208.47078785720785	8	0.6888644695281982	0.5409190654754639	8.27452826499939	1.8767712116241455	2.0691304206848145	0.5764725208282471	9.18875503540039	1.3569347858428955	9.194993734359741	2.0980186462402344
M_11111111111111111111111111111011	47.886505365371704	15.764437548791275	95.52887509758256	105.17271071402091	208.4706058979481	6	5.052001714706421	6.276418685913086	1.4853062629699707	7.6238343715667725	8.981269359588623	8.735394477844238	8.976550102233887	0.22129130363464355	0.24341559410095215	0.29102349281311035
M_11111111111111111111111111111110	47.75117301940918	15.764436535812749	95.5288730716255	105.17270868806385	208.47060387199105	8	1.9292240142822266	1.0840084552764893	1.820345401763916	0.7832784652709961	8.382338762283325	9.583650350570679	9.142202615737915	10.50676155090332	4.143996000289917	0.3753674030303955
M_11111111111111111111111111101111	33.06100654602051	15.764440505687425	95.52888101137485	105.1727166278132	208.4706118117404	9	1.0712430477142334	5.272503852844238	1.1360766887664795	1.4875645637512207	0.8106131553649902	5.48503851890564	5.130703687667847	5.362416505813599	0.6057116985321045	6.699134826660156
M_11111111111111111111111111111101	49.00156545639038	15.764699886605849	95.5293997732117	105.17323538965005	208.47113057357726	7	9.584672927856445	9.843563079833984	7.857892751693726	1.3351845741271973	0.6874451637268066	9.297425985336304	9.367772579193115	0.4066150188446045	0.3079993724822998	0.31299400329589844
M_11111111101111111111111111111111	32.46616721153259	15.764505695344338	95.52901139068868	105.17284700712703	208.47074219105423	7	9.456024885177612	0.8278918266296387	1.5223612785339355	0.5913996696472168	6.831564903259277	1.0672426223754883	1.2430989742279053	9.836100578308105	0.6042187213897705	0.4862637519836426
M_10111111111111111111111111111111	53.52395415306091	15.764827628825874	95.52965525765174	105.17349087409009	208.4713860580173	8	4.57356333732605	9.111904621124268	3.2396581172943115	8.811802387237549	2.070878267288208	2.4362003803253174	3.405418634414673	9.431553602218628	9.338959217071533	1.104015588760376
M_11111111111111011111111111111111	52.82157349586487	15.764439268322983	95.52887853664596	105.17271415308431	208.47060933701152	10	6.601931095123291	5.227420330047607	0.7721939086914062	2.367337226867676	2.0290980339050293	2.448347806930542	2.5582401752471924	9.586594581604004	10.901691913604736	10.328718423843384
M_11111111110111111111111111111111	34.03729224205017	15.76459383610793	95.52918767221585	105.1730232886542	208.47091847258142	6	0.9954698085784912	1.1599798202514648	3.8896918296813965	9.819217681884766	7.12891411781311	9.742666006088257	0.31105923652648926	0.3128795623779297	0.3612806797027588	0.3161334991455078
M_11111111111111111111110111111111	42.44986414909363	15.764457303449285	95.52891460689857	105.17275022333692	208.47064540726413	8	0.5847277641296387	1.12141752243042	8.607584476470947	5.645694017410278	1.518024206161499	3.7807345390319824	1.904675006866455	9.744707822799683	9.222646951675415	0.31965184211730957
M_11101111111111111111111111111111	47.597079277038574	15.76479847162464	95.52959694324929	105.17343255968764	208.47132774361484	6	2.092817544937134	7.689850568771362	1.1390526294708252	1.672072172164917	9.918394088745117	9.45240044593811	3.756354570388794	11.160744667053223	0.4028646945953369	0.3125278949737549
M_11111111111111111111011111111111	49.77644991874695	15.76444940844805	95.5288988168961	105.17273443333445	208.47062961726164	8	1.3957030773162842	0.5802345275878906	5.656877517700195	2.0173280239105225	4.3192315101623535	7.229436159133911	3.07267427444458	7.092166185379028	9.678179025650024	8.734619617462158
M_11111111111111111011111111111111	56.0785346031189	15.764500343561448	95.5290006871229	105.17283630356125	208.47073148748845	9	1.5071403980255127	7.351543664932251	4.56229829788208	0.961477518081665	9.84786319732666	2.629326820373535	9.530516862869263	9.174944162368774	9.744481325149536	0.7689423561096191
M_11111111111111111111111101111111	57.56292390823364	15.764450737785651	95.5289014755713	105.17273709200965	208.47063227593685	6	0.459575891494751	1.6162183284759521	0.5967841148376465	4.287841320037842	9.227985858917236	9.441554546356201	0.7218222618103027	9.939272165298462	10.273644208908081	10.998225212097168
