model_id	total_time	NLLH	AIC	AICc	BIC	n_converged	start_time_0	start_time_1	start_time_2	start_time_3	start_time_4	start_time_5	start_time_6	start_time_7	start_time_8	start_time_9	start_time_10	start_time_11	start_time_12	start_time_13	start_time_14	start_time_15	start_time_16	start_time_17	start_time_18	start_time_19
M_01000000001000011010000001010001	15.096627235412598	38.875361292727774	95.75072258545555	96.4945242383481	127.51558437305836	18	0.9993715286254883	0.4567604064941406	1.5294976234436035	1.0233979225158691	0.43053555488586426	0.43322277069091797	1.2313871383666992	0.543377161026001	0.6094245910644531	0.7321319580078125	0.9323546886444092	0.5271735191345215	0.6238703727722168	0.9557130336761475	0.6873118877410889	0.8584833145141602	0.7306816577911377	0.6988081932067871	0.8439459800720215	0.2491779327392578
M_01000100001000011010000001010000	12.98763370513916	93.86841982949382	205.73683965898763	206.4806413118802	237.50170144659046	18	0.39656496047973633	0.6423382759094238	0.8628020286560059	0.5020389556884766	0.5555801391601562	0.9070508480072021	0.9200963973999023	0.5944850444793701	0.33709168434143066	0.6335885524749756	0.6808509826660156	0.5189242362976074	1.03708815574646	0.5383090972900391	0.8175826072692871	0.5236420631408691	0.9435350894927979	0.5170621871948242	0.8985445499420166	0.16045784950256348
M_01010100001000000010000001010001	15.050230741500854	24.108593342543866	66.21718668508774	66.9609883379803	97.98204847269054	19	0.872450590133667	0.719536542892456	0.6153521537780762	0.5233800411224365	1.0119960308074951	1.0018815994262695	0.8664519786834717	0.7303361892700195	0.6161305904388428	1.1348657608032227	0.518662691116333	0.5656845569610596	0.9087166786193848	0.7272381782531738	0.9393477439880371	0.30678844451904297	0.7737274169921875	0.5958971977233887	1.045348882675171	0.5764374732971191
M_00010100001000010010000001010001	31.65550470352173	21.22070555887997	60.44141111775994	61.185212770652505	92.20627290536275	11	0.5250449180603027	1.423746109008789	2.0916953086853027	2.642679452896118	5.836316347122192	1.9695796966552734	1.4322292804718018	1.8193087577819824	1.408668041229248	1.7014422416687012	0.7228221893310547	2.3869576454162598	0.8599340915679932	0.8246095180511475	1.6610305309295654	1.493936538696289	0.5601108074188232	0.7250773906707764	1.1139628887176514	0.45635294914245605
M_01010100001000010000000001010001	15.15165114402771	27.547912320083135	73.09582464016627	73.83962629305883	104.86068642776908	15	0.6411943435668945	0.6332707405090332	1.1081008911132812	0.8242528438568115	0.5517532825469971	1.1540632247924805	0.7563924789428711	0.5013926029205322	0.9816579818725586	1.344651460647583	0.7542657852172852	0.7532436847686768	0.6087186336517334	1.0715007781982422	0.643956184387207	0.68308424949646	0.542290449142456	0.5521409511566162	0.6633334159851074	0.3823871612548828
M_01010100001000010010000000010001	17.761992931365967	15.901720557292593	49.80344111458518	50.54724276747775	81.568302902188	7	0.8135795593261719	0.5438060760498047	0.5462236404418945	0.822533130645752	0.7859153747558594	0.8980081081390381	2.038376808166504	0.6325256824493408	1.4558374881744385	1.860090970993042	0.6883068084716797	0.7386243343353271	2.0117108821868896	0.6657314300537109	0.4428439140319824	0.5907366275787354	0.6995828151702881	0.6716768741607666	0.5155026912689209	0.3403797149658203
M_01010100000000010010000001010001	26.05740737915039	18.445783514795867	54.891567029591734	55.6353686824843	86.65642881719455	15	1.0557963848114014	0.9429693222045898	0.470595121383667	0.3500339984893799	0.6587004661560059	0.9824812412261963	1.0070903301239014	0.9502918720245361	1.0046570301055908	1.0767626762390137	0.6069228649139404	0.7915949821472168	1.0385682582855225	1.6185493469238281	0.3798654079437256	1.1537187099456787	0.5373249053955078	0.7068204879760742	0.31303906440734863	10.411624908447266
M_01010000001000010010000001010001	19.954997539520264	40.190940896215146	98.38188179243029	99.12568344532285	130.1467435800331	8	1.1613540649414062	0.7378113269805908	0.8464930057525635	0.4451303482055664	0.7678186893463135	0.7295310497283936	1.259340763092041	1.1460113525390625	1.0329139232635498	1.0907831192016602	0.9782934188842773	0.999100923538208	0.7172136306762695	1.2278382778167725	1.3452246189117432	1.298086404800415	0.876551628112793	1.1451764106750488	1.0006892681121826	1.1496353149414062
M_01010100001000010010000001010000	11.8338942527771	80.99681991542802	179.99363983085604	180.7374414837486	211.75850161845887	18	0.40781164169311523	0.6373298168182373	0.4316232204437256	0.9874403476715088	0.39289021492004395	0.3455665111541748	1.0790057182312012	0.7981719970703125	0.3509330749511719	0.6764750480651855	0.6546130180358887	0.7465298175811768	0.3628385066986084	0.9359498023986816	0.2875697612762451	0.5203382968902588	0.8624329566955566	0.7041754722595215	0.34734463691711426	0.3048543930053711
M_01000100001000000110000001010001	9.773004531860352	27.995747786134785	73.99149557226957	74.73529722516213	105.75635735987238	19	0.8877665996551514	0.5580909252166748	0.5983014106750488	0.3226737976074219	0.3427305221557617	0.6558341979980469	0.4924488067626953	0.6223840713500977	0.4677755832672119	0.4687011241912842	0.6330783367156982	0.5221929550170898	0.36177754402160645	0.47167134284973145	0.3910806179046631	0.3891720771789551	0.3566107749938965	0.5501720905303955	0.3160991668701172	0.3644425868988037
